  # Astr silicate from Weingartner & Draine (2001), extended to X-rays by V.Z.
  # lamda [mu]         n - 1              k
  2.18590681e-01  8.22580350e-01  3.39569164e-02
  2.19553740e-01  8.19230004e-01  3.26168669e-02
  2.20521041e-01  8.15979198e-01  3.14136168e-02
  2.21492605e-01  8.12667751e-01  3.02972508e-02
  2.22468448e-01  8.09399492e-01  2.95383680e-02
  2.23448591e-01  8.06197796e-01  2.87828139e-02
  2.24433053e-01  8.03001330e-01  2.82867070e-02
  2.25421851e-01  7.99957725e-01  2.79844755e-02
  2.26415006e-01  7.96973136e-01  2.76835698e-02
  2.27412537e-01  7.94108337e-01  2.77083095e-02
  2.28414462e-01  7.91480991e-01  2.77482606e-02
  2.29420802e-01  7.88992542e-01  2.78026143e-02
  2.30431575e-01  7.86631249e-01  2.78864994e-02
  2.31446802e-01  7.84399344e-01  2.79700164e-02
  2.32466502e-01  7.82263262e-01  2.80158689e-02
  2.33490694e-01  7.80188975e-01  2.80464675e-02
  2.34519398e-01  7.78172247e-01  2.80769192e-02
  2.35552635e-01  7.76213124e-01  2.81071181e-02
  2.36590424e-01  7.74308175e-01  2.81371845e-02
  2.37632785e-01  7.72454446e-01  2.81680686e-02
  2.38679738e-01  7.70649976e-01  2.81998763e-02
  2.39731304e-01  7.68892563e-01  2.82315444e-02
  2.40787503e-01  7.67179210e-01  2.82623183e-02
  2.41848356e-01  7.65507389e-01  2.82928334e-02
  2.42913882e-01  7.63875358e-01  2.83230301e-02
  2.43984103e-01  7.62281093e-01  2.83525042e-02
  2.45059039e-01  7.60722935e-01  2.83818490e-02
  2.46138710e-01  7.59199457e-01  2.84105779e-02
  2.47223139e-01  7.57709020e-01  2.84388812e-02
  2.48312345e-01  7.56250540e-01  2.84670593e-02
  2.49406350e-01  7.54822774e-01  2.84946048e-02
  2.50505175e-01  7.53424575e-01  2.85220294e-02
  2.51608841e-01  7.52055118e-01  2.85490296e-02
  2.52717370e-01  7.50713206e-01  2.85754141e-02
  2.53830783e-01  7.49398118e-01  2.86016829e-02
  2.54949101e-01  7.48108893e-01  2.86269266e-02
  2.56072346e-01  7.46844356e-01  2.86517711e-02
  2.57200540e-01  7.45604098e-01  2.86763767e-02
  2.58333704e-01  7.44387219e-01  2.87000917e-02
  2.59471861e-01  7.43193025e-01  2.87237026e-02
  2.60615032e-01  7.42021050e-01  2.87465720e-02
  2.61763240e-01  7.40870299e-01  2.87687532e-02
  2.62916506e-01  7.39740492e-01  2.87908372e-02
  2.64074854e-01  7.38630882e-01  2.88117001e-02
  2.65238305e-01  7.37540603e-01  2.88323495e-02
  2.66406882e-01  7.36469550e-01  2.88526357e-02
  2.67580607e-01  7.35417025e-01  2.88721600e-02
  2.68759503e-01  7.34382696e-01  2.88915987e-02
  2.69943594e-01  7.33366118e-01  2.89100578e-02
  2.71132901e-01  7.32366429e-01  2.89279959e-02
  2.72327448e-01  7.31383562e-01  2.89458116e-02
  2.73527258e-01  7.30416974e-01  2.89626832e-02
  2.74732354e-01  7.29466160e-01  2.89794809e-02
  2.75942759e-01  7.28531042e-01  2.89957838e-02
  2.77158497e-01  7.27610996e-01  2.90114613e-02
  2.78379592e-01  7.26705933e-01  2.90270701e-02
  2.79606066e-01  7.25815337e-01  2.90415012e-02
  2.80837944e-01  7.24938445e-01  2.90556124e-02
  2.82075249e-01  7.24075305e-01  2.90694798e-02
  2.83318005e-01  7.23225344e-01  2.90825117e-02
  2.84566237e-01  7.22388011e-01  2.90954865e-02
  2.85819968e-01  7.21563289e-01  2.91084848e-02
  2.87079223e-01  7.20751007e-01  2.91214858e-02
  2.88344025e-01  7.19950783e-01  2.91344298e-02
  2.89614400e-01  7.19162530e-01  2.91478192e-02
  2.90890373e-01  7.18385997e-01  2.91611729e-02
  2.92171966e-01  7.17620795e-01  2.91751636e-02
  2.93459206e-01  7.16867627e-01  2.91904608e-02
  2.94752118e-01  7.16126818e-01  2.92056909e-02
  2.96050725e-01  7.15397616e-01  2.92204283e-02
  2.97355054e-01  7.14679511e-01  2.92349329e-02
  2.98665130e-01  7.13972431e-01  2.92493165e-02
  2.99980978e-01  7.13275977e-01  2.92630937e-02
  3.01302622e-01  7.12589788e-01  2.92768106e-02
  3.02630090e-01  7.11913844e-01  2.92903787e-02
  3.03963406e-01  7.11247968e-01  2.93037892e-02
  3.05302596e-01  7.10592163e-01  2.93171409e-02
  3.06647687e-01  7.09946125e-01  2.93298758e-02
  3.07998704e-01  7.09309570e-01  2.93424645e-02
  3.09355673e-01  7.08682605e-01  2.93546659e-02
  3.10718620e-01  7.08064532e-01  2.93657620e-02
  3.12087572e-01  7.07454901e-01  2.93768095e-02
  3.13462556e-01  7.06853848e-01  2.93876526e-02
  3.14843597e-01  7.06261210e-01  2.93983525e-02
  3.16230723e-01  7.05676955e-01  2.94090054e-02
  3.17623961e-01  7.05100894e-01  2.94193567e-02
  3.19023336e-01  7.04532831e-01  2.94296626e-02
  3.20428877e-01  7.03972704e-01  2.94398241e-02
  3.21840610e-01  7.03420264e-01  2.94497815e-02
  3.23258563e-01  7.02875238e-01  2.94596953e-02
  3.24682764e-01  7.02337669e-01  2.94699323e-02
  3.26113239e-01  7.01807593e-01  2.94802357e-02
  3.27550016e-01  7.01284702e-01  2.94906245e-02
  3.28993123e-01  7.00769238e-01  2.95017314e-02
  3.30442589e-01  7.00261369e-01  2.95127895e-02
  3.31898440e-01  6.99760788e-01  2.95238570e-02
  3.33360706e-01  6.99267409e-01  2.95349278e-02
  3.34829414e-01  6.98781181e-01  2.95459500e-02
  3.36304592e-01  6.98301914e-01  2.95567288e-02
  3.37786270e-01  6.97829458e-01  2.95674397e-02
  3.39274476e-01  6.97363809e-01  2.95780157e-02
  3.40769239e-01  6.96904823e-01  2.95883321e-02
  3.42270587e-01  6.96452636e-01  2.95986033e-02
  3.43778550e-01  6.96006957e-01  2.96078933e-02
  3.45293156e-01  6.95567161e-01  2.96166790e-02
  3.46814435e-01  6.95133466e-01  2.96253755e-02
  3.48342417e-01  6.94705503e-01  2.96330473e-02
  3.49877131e-01  6.94282814e-01  2.96406856e-02
  3.51418606e-01  6.93865624e-01  2.96483254e-02
  3.52966873e-01  6.93453978e-01  2.96559776e-02
  3.54521961e-01  6.93047910e-01  2.96635962e-02
  3.56083900e-01  6.92647255e-01  2.96709360e-02
  3.57652721e-01  6.92251828e-01  2.96781881e-02
  3.59228454e-01  6.91861619e-01  2.96853490e-02
  3.60811129e-01  6.91476403e-01  2.96922342e-02
  3.62400777e-01  6.91095855e-01  2.96990893e-02
  3.63997429e-01  6.90720069e-01  2.97064081e-02
  3.65601115e-01  6.90349304e-01  2.97140604e-02
  3.67211866e-01  6.89983197e-01  2.97216792e-02
  3.68829714e-01  6.89622046e-01  2.97304285e-02
  3.70454690e-01  6.89266225e-01  2.97391906e-02
