  # aC, type ACH2, V. Zubko et al. (1996), extended to X-rays by V. Zubko
  # lamda [mu]         n - 1             k
  7.35477832e-01  7.80097953e-01  2.11074401e-01
  7.38718173e-01  7.79896492e-01  2.10516593e-01
  7.41972789e-01  7.79675084e-01  2.09958189e-01
  7.45241744e-01  7.79443890e-01  2.09437721e-01
  7.48525102e-01  7.79225723e-01  2.08933588e-01
  7.51822926e-01  7.79012936e-01  2.08425221e-01
  7.55135278e-01  7.78793401e-01  2.07916756e-01
  7.58462225e-01  7.78561600e-01  2.07409717e-01
  7.61803829e-01  7.78303590e-01  2.06904663e-01
  7.65160155e-01  7.78030112e-01  2.06440779e-01
  7.68531268e-01  7.77750647e-01  2.05989125e-01
  7.71917234e-01  7.77468311e-01  2.05573880e-01
  7.75318118e-01  7.77183889e-01  2.05168930e-01
  7.78733985e-01  7.76904525e-01  2.04806780e-01
  7.82164901e-01  7.76645704e-01  2.04454642e-01
  7.85610934e-01  7.76391556e-01  2.04098862e-01
  7.89072148e-01  7.76119035e-01  2.03743688e-01
  7.92548612e-01  7.75840896e-01  2.03433615e-01
  7.96040393e-01  7.75565073e-01  2.03131013e-01
  7.99547557e-01  7.75296598e-01  2.02870846e-01
  8.03070174e-01  7.75047801e-01  2.02616516e-01
  8.06608310e-01  7.74800944e-01  2.02362611e-01
  8.10162034e-01  7.74523531e-01  2.02109771e-01
  8.13731415e-01  7.74254881e-01  2.01954357e-01
  8.17316522e-01  7.74037378e-01  2.01803497e-01
  8.20917424e-01  7.73842922e-01  2.01650728e-01
  8.24534191e-01  7.73661199e-01  2.01498563e-01
  8.28166892e-01  7.73485450e-01  2.01346561e-01
  8.31815598e-01  7.73300295e-01  2.01196806e-01
  8.35480380e-01  7.73125911e-01  2.01095992e-01
  8.39161307e-01  7.72980871e-01  2.00995543e-01
  8.42858452e-01  7.72846466e-01  2.00893857e-01
  8.46571886e-01  7.72707306e-01  2.00796295e-01
  8.50301680e-01  7.72584434e-01  2.00745707e-01
  8.54047907e-01  7.72496252e-01  2.00695322e-01
  8.57810639e-01  7.72429053e-01  2.00644975e-01
  8.61589948e-01  7.72379793e-01  2.00594758e-01
  8.65385908e-01  7.72346895e-01  2.00543974e-01
  8.69198593e-01  7.72330137e-01  2.00493386e-01
  8.73028075e-01  7.72332873e-01  2.00442838e-01
  8.76874428e-01  7.72361966e-01  2.00384762e-01
  8.80737728e-01  7.72389825e-01  2.00282798e-01
  8.84618049e-01  7.72393469e-01  2.00190601e-01
  8.88515466e-01  7.72412955e-01  2.00139851e-01
  8.92430053e-01  7.72472599e-01  2.00078550e-01
  8.96361888e-01  7.72539410e-01  1.99977486e-01
  9.00311045e-01  7.72597324e-01  1.99876756e-01
  9.04277601e-01  7.72657875e-01  1.99776104e-01
  9.08261633e-01  7.72724920e-01  1.99675469e-01
  9.12263217e-01  7.72804571e-01  1.99573944e-01
  9.16282432e-01  7.72900987e-01  1.99459102e-01
  9.20319354e-01  7.72992386e-01  1.99307423e-01
  9.24374062e-01  7.73066615e-01  1.99155648e-01
  9.28446634e-01  7.73133826e-01  1.99002668e-01
  9.32537149e-01  7.73196153e-01  1.98850117e-01
  9.36645686e-01  7.73255345e-01  1.98697736e-01
  9.40772324e-01  7.73312422e-01  1.98545749e-01
  9.44917142e-01  7.73368379e-01  1.98393933e-01
  9.49080222e-01  7.73424774e-01  1.98242479e-01
  9.53261644e-01  7.73487937e-01  1.98091193e-01
  9.57461488e-01  7.73555416e-01  1.97920325e-01
  9.61679835e-01  7.73597807e-01  1.97719274e-01
  9.65916768e-01  7.73607989e-01  1.97538263e-01
  9.70172367e-01  7.73616691e-01  1.97386167e-01
  9.74446715e-01  7.73633235e-01  1.97234377e-01
  9.78739896e-01  7.73649740e-01  1.97082775e-01
  9.83051991e-01  7.73664173e-01  1.96930647e-01
