  Water ice, from Warren (1984), extended to X-rays by V. Zubko
  # lamda [mu]         n - 1              k
  6.50456341e-04  -6.01329000e-05  3.37208000e-06
  6.59523379e-04  -6.18406000e-05  3.55408000e-06
  6.68717076e-04  -6.35964000e-05  3.74590000e-06
  6.78037378e-04  -6.54013000e-05  3.94807000e-06
  6.87487887e-04  -6.72568000e-05  4.16116000e-06
  6.97072464e-04  -6.91643000e-05  4.38572000e-06
  7.06791230e-04  -7.11245000e-05  4.62203000e-06
  7.16640018e-04  -7.31387000e-05  4.87066000e-06
  7.26631042e-04  -7.52096000e-05  5.13152000e-06
  7.36760273e-04  -7.73386000e-05  5.40584000e-06
  7.47032029e-04  -7.95273000e-05  5.69482000e-06
  7.57441720e-04  -8.17770000e-05  5.99921000e-06
  7.68003068e-04  -8.40894000e-05  6.31979000e-06
  7.78706776e-04  -8.64655000e-05  6.65759000e-06
  7.89562386e-04  -8.89071000e-05  7.01345000e-06
  8.00570039e-04  -9.14157000e-05  7.38809000e-06
  8.11729707e-04  -9.39931000e-05  7.78280000e-06
  8.23041175e-04  -9.66399000e-05  8.19852000e-06
  8.34515255e-04  -9.93576000e-05  8.63505000e-06
  8.46146506e-04  -1.02150000e-04  9.09132000e-06
  8.57940528e-04  -1.05019000e-04  9.57042000e-06
  8.69903375e-04  -1.07967000e-04  1.00741000e-05
  8.82029058e-04  -1.10997000e-04  1.06043000e-05
  8.94323584e-04  -1.14108000e-04  1.11624000e-05
  9.06786841e-04  -1.17304000e-04  1.17497000e-05
  9.19432122e-04  -1.20586000e-04  1.23680000e-05
  9.32246026e-04  -1.23957000e-04  1.30189000e-05
  9.45242192e-04  -1.27417000e-04  1.37040000e-05
  9.58420825e-04  -1.30968000e-04  1.44253000e-05
  9.71774320e-04  -1.34611000e-04  1.51846000e-05
  9.85325280e-04  -1.38348000e-04  1.59811000e-05
  9.99058479e-04  -1.42182000e-04  1.68164000e-05
  1.01298150e-03  -1.46118000e-04  1.76928000e-05
  1.02710260e-03  -1.50159000e-04  1.86130000e-05
  1.04142200e-03  -1.54305000e-04  1.95809000e-05
  1.05593971e-03  -1.58558000e-04  2.05993000e-05
  1.07065550e-03  -1.62920000e-04  2.16706000e-05
  1.08558787e-03  -1.67393000e-04  2.27974000e-05
  1.10071815e-03  -1.71979000e-04  2.39826000e-05
  1.11605538e-03  -1.76680000e-04  2.52297000e-05
  1.13161972e-03  -1.81497000e-04  2.65418000e-05
  1.14739099e-03  -1.86431000e-04  2.79220000e-05
  1.16337909e-03  -1.91483000e-04  2.93740000e-05
  1.17960607e-03  -1.96651000e-04  3.09011000e-05
  1.19603857e-03  -2.01937000e-04  3.24994000e-05
  1.21272210e-03  -2.07352000e-04  3.41717000e-05
  1.22962185e-03  -2.12900000e-04  3.59323000e-05
  1.24676133e-03  -2.18576000e-04  3.77928000e-05
  1.26414076e-03  -2.24376000e-04  3.97515000e-05
  1.28176141e-03  -2.30295000e-04  4.18134000e-05
  1.29962848e-03  -2.36325000e-04  4.39818000e-05
  1.31774471e-03  -2.42462000e-04  4.62489000e-05
  1.33611426e-03  -2.48704000e-04  4.86161000e-05
  1.35473853e-03  -2.55075000e-04  5.10551000e-05
  1.37362333e-03  -2.61599000e-04  5.35706000e-05
  1.39277016e-03  -2.68280000e-04  5.62101000e-05
  1.41218517e-03  -2.75118000e-04  5.89798000e-05
  1.43186998e-03  -2.82110000e-04  6.18859000e-05
  1.45182943e-03  -2.89272000e-04  6.49722000e-05
  1.47206689e-03  -2.96568000e-04  6.82546000e-05
  1.49258756e-03  -3.03965000e-04  7.17456000e-05
  1.51339319e-03  -3.11448000e-04  7.54392000e-05
  1.53448924e-03  -3.19014000e-04  7.93228000e-05
  1.55587944e-03  -3.26654000e-04  8.34065000e-05
  1.57756766e-03  -3.34335000e-04  8.77000000e-05
  1.59955782e-03  -3.42025000e-04  9.21622000e-05
  1.62185394e-03  -3.49779000e-04  9.67913000e-05
  1.64446234e-03  -3.57605000e-04  1.01620000e-04
  1.66738519e-03  -3.65484000e-04  1.06678000e-04
  1.69062686e-03  -3.73383000e-04  1.11986000e-04
  1.71419419e-03  -3.81271000e-04  1.17557000e-04
  1.73808957e-03  -3.89075000e-04  1.23410000e-04
  1.76231777e-03  -3.96669000e-04  1.29400000e-04
  1.78688371e-03  -4.04282000e-04  1.35478000e-04
  1.81178984e-03  -4.12008000e-04  1.41820000e-04
  1.83704664e-03  -4.19790000e-04  1.48609000e-04
  1.86265420e-03  -4.27401000e-04  1.55991000e-04
  1.88861794e-03  -4.34543000e-04  1.64011000e-04
  1.91494350e-03  -4.41091000e-04  1.72443000e-04
  1.94163673e-03  -4.46780000e-04  1.81158000e-04
  1.96870372e-03  -4.51754000e-04  1.90111000e-04
  1.99614438e-03  -4.55960000e-04  1.99349000e-04
  2.02397139e-03  -4.59182000e-04  2.08968000e-04
  2.05218484e-03  -4.61109000e-04  2.19042000e-04
  2.08079135e-03  -4.61339000e-04  2.29600000e-04
  2.10979427e-03  -4.59324000e-04  2.40666000e-04
  2.13920421e-03  -4.53722000e-04  2.52288000e-04
  2.16902496e-03  -4.42940000e-04  2.64508000e-04
  2.19926024e-03  -4.23721000e-04  2.77437000e-04
  2.22991371e-03  -3.87485000e-04  2.91058000e-04
  2.26099721e-03  -2.43435000e-04  3.05359000e-04
  2.29251493e-03  -2.71060000e-06  1.65887000e-05
